gameday,kickoff,away,home,neutral,away_score,home_score,expected_margin,home_win_probability,away_win_probability,pick,market_spread,model_k,model_home_field,model_sigma
2026-09-17,20:15,DET,BUF,False,,,7.903,0.7259,0.2741,BUF by 7.9,4.5,4.59,2.56,13.16
2026-09-20,13:00,CAR,ATL,False,,,0.604,0.5183,0.4817,ATL by 0.6,-2.5,4.59,2.56,13.16
2026-09-20,13:00,CIN,HOU,False,,,1.686,0.551,0.449,HOU by 1.7,2.5,4.59,2.56,13.16
2026-09-20,13:00,CLE,TB,False,,,7.894,0.7257,0.2743,TB by 7.9,8.5,4.59,2.56,13.16
2026-09-20,13:00,GB,NYJ,False,,,-1.546,0.4532,0.5468,GB by 1.5,-3.5,4.59,2.56,13.16
2026-09-20,13:00,MIN,CHI,False,,,7.543,0.7167,0.2833,CHI by 7.5,4.5,4.59,2.56,13.16
2026-09-20,13:00,NO,BAL,False,,,11.358,0.806,0.194,BAL by 11.4,8.5,4.59,2.56,13.16
2026-09-20,13:00,PHI,TEN,False,,,-7.242,0.291,0.709,PHI by 7.2,-7.0,4.59,2.56,13.16
2026-09-20,13:00,PIT,NE,False,,,5.836,0.6713,0.3287,NE by 5.8,5.5,4.59,2.56,13.16
2026-09-20,16:05,JAX,DEN,False,,,0.973,0.5295,0.4705,DEN by 1.0,2.5,4.59,2.56,13.16
2026-09-20,16:05,LV,LAC,False,,,6.015,0.6762,0.3238,LAC by 6.0,6.5,4.59,2.56,13.16
2026-09-20,16:25,MIA,SF,False,,,15.238,0.8766,0.1234,SF by 15.2,13.5,4.59,2.56,13.16
2026-09-20,16:25,SEA,ARI,False,,,-7.853,0.2753,0.7247,SEA by 7.9,-3.5,4.59,2.56,13.16
2026-09-20,16:25,WAS,DAL,False,,,5.681,0.667,0.333,DAL by 5.7,4.5,4.59,2.56,13.16
2026-09-20,20:20,IND,KC,False,,,10.525,0.7881,0.2119,KC by 10.5,6.5,4.59,2.56,13.16
2026-09-21,20:15,NYG,LAR,False,,,7.621,0.7187,0.2813,LAR by 7.6,7.0,4.59,2.56,13.16
